,vix,vix_ma,irx,irx_delta,curve_slope,spy_sma,spy_above_sma,qqq_mom,score_vix_level,score_vix_trend,score_rate_easing,score_trend,score_momentum,score_curve,composite
2024-11-26,14.100000381469727,16.916000032424925,4.394999980926514,-0.5749998092651367,-0.2049999237060547,531.416716003418,1,0.3176839509332601,2,1,1,1,1,0,6.0
2024-11-27,14.100000381469727,16.603500032424925,4.385000228881836,-0.5629997253417969,-0.2720003128051758,531.9539169311523,1,0.30389180360061463,2,1,1,1,1,0,6.0
2024-11-29,13.510000228881836,16.121000051498413,4.373000144958496,-0.5590000152587891,-0.31800031661987305,532.4875415039063,1,0.31663125585021357,2,1,1,1,1,0,6.0
2024-12-02,13.34000015258789,15.694000101089477,4.380000114440918,-0.5279998779296875,-0.2850003242492676,533.0097314453125,1,0.3343212443536894,2,1,1,1,1,0,6.0
2024-12-03,13.300000190734863,15.260000133514405,4.35699987411499,-0.5380001068115234,-0.25099992752075195,533.5454621887206,1,0.33460261987923223,2,1,1,1,1,0,6.0
2024-12-04,13.449999809265137,14.908000135421753,4.34499979019165,-0.49000024795532227,-0.28299999237060547,534.1129946899414,1,0.36376274172049716,2,1,1,1,1,0,6.0
2024-12-05,13.539999961853027,14.77150011062622,4.329999923706055,-0.5450000762939453,-0.2539997100830078,534.6734259033203,1,0.3565775274828358,2,1,1,1,1,0,6.0
2024-12-06,12.770000457763672,14.650000143051148,4.295000076293945,-0.5450000762939453,-0.2610001564025879,535.1894338989258,1,0.3766806505717164,2,1,1,1,1,0,6.0
2024-12-09,14.1899995803833,14.612500143051147,4.293000221252441,-0.4699997901916504,-0.22100019454956055,535.6883634948731,1,0.3471374484217795,2,1,1,1,1,0,6.0
2024-12-10,14.180000305175781,14.573000144958495,4.284999847412109,-0.46000003814697266,-0.18799972534179688,536.1871095275878,1,0.3365899879942613,2,1,1,1,1,0,6.0
2024-12-11,13.579999923706055,14.51650013923645,4.255000114440918,-0.48000001907348633,-0.12100028991699219,536.7041716003419,1,0.3489948116126287,2,1,1,1,1,0,6.0
